id,username,created_at,lng,lat,text
1517712209463451649,swepal2,Sat Apr 23 03:49:23 +0000 2022,17.980058999999997,59.333670999999995,@ASkojec @Phyllis94584953 Yesterday ...and Today..the same alliance..now under code names USNATO and USkraine &amp; EU https://t.co/W5KofLLwi0
1517712249804267521,JosBrugman,Sat Apr 23 03:49:32 +0000 2022,4.7545595,52.6373075,Sorry Sorry Sorry Sorry Sorry Sorry....
1517712249997176832,tigerrector,Sat Apr 23 03:49:32 +0000 2022,0.3803645,52.602804,@guywaltersGreat #cravat wearers of the C20th -No.437 #YulBrynner.https://t.co/etZa06OJYg
1517712325716893701,jimmyangel3,Sat Apr 23 03:49:50 +0000 2022,-1.8630965000000002,54.8425435,"If Eddie Howe is to be measured on anything its how he's taken out of form, confidence zapped players and coached t… https://t.co/ZAYvUyrvkU"
1517712355731415045,ClubAfricana1,Sat Apr 23 03:49:57 +0000 2022,8.4332605,50.144532,#Rindswurst (#beefsausage) 🍆 = #BBC 🍆🤘🏿✌🏿👍🏿#Follow us on #WhatsApp1) https://t.co/m6WWOMa3Je2)… https://t.co/sXLZHcLvyZ
1517712364489084929,david7000lee,Sat Apr 23 03:50:00 +0000 2022,-2.231909,51.7454065,Trains from #Tbilis and #Batumi to #Kuraisi International Airport start April 30th. https://t.co/jP0bTSrH0v https://t.co/OsRiC7pysj
1517712382352633856,Slavecutter,Sat Apr 23 03:50:04 +0000 2022,4.2716075,51.9244575,@A_Spec @StellarisGame Legs are overrated. https://t.co/ay03ePxwfd
1517712385271816195,ClubAfricana1,Sat Apr 23 03:50:05 +0000 2022,8.4332605,50.144532,#Rindswurst (#beefsausage) 🍆 = #BBC 🍆🤘🏿✌🏿👍🏿#Follow us on #WhatsApp1) https://t.co/m6WWOMa3Je2)… https://t.co/B9rPbpOj8g
1517712400270700544,DaRealRockyBadd,Sat Apr 23 03:50:08 +0000 2022,-2.41852629,53.56642343,Nobody’s Girlfriend 💕 @ Brooklynn https://t.co/oKJ9j0ZfQn
1517712417605754881,swepal2,Sat Apr 23 03:50:12 +0000 2022,17.980058999999997,59.333670999999995,@SmurphySuzanne @Phyllis94584953 #Ukraine destroying evidence of US-funded 🇺🇸 #bioweapons program - 🇷🇺… https://t.co/79fL8N4CTi
1517712430058680322,IbrahimD59,Sat Apr 23 03:50:15 +0000 2022,-0.87994654,51.4283302,Just posted a photo @ Winnersh https://t.co/TVPtVwajcX
1517712432088727552,ZamirLX,Sat Apr 23 03:50:16 +0000 2022,-2.2038685,52.526056499999996,@rethinkingnorm They will take over in the next couple of decades 😄
1517712449817960453,Moggsee,Sat Apr 23 03:50:20 +0000 2022,-3.9748195,53.2561115,"@isabellabc I use the @PictureThisAI app, it IDs plants &amp; insects 🌸🦋"
1517712462979776513,pinkygeorgina92,Sat Apr 23 03:50:23 +0000 2022,-2.7751315,54.068005,And help with just eat please
1517712472119074821,chwinther68,Sat Apr 23 03:50:25 +0000 2022,12.5526325,55.6727755,Hopefully good riddance sooner rather than later. We can hasten this by providing Ukraine all the weapons they need… https://t.co/EqWZCptjcb
1517712497297473536,protecths,Sat Apr 23 03:50:31 +0000 2022,-2.0988680000000004,53.4202645,@LakeCountry @WondersNorbit @OnlyaMoment3 @OldGuy_Wims @CubeSteve @Godfly__ @pray2pesci @Felix_Cat7 @zypisfy… https://t.co/8sJCWGbvHX
1517712500057415686,ClubAfricana1,Sat Apr 23 03:50:32 +0000 2022,8.4332605,50.144532,#Rindswurst (#beefsausage) 🍆 = #BBC 🍆🤘🏿✌🏿👍🏿#Follow us on #WhatsApp1) https://t.co/m6WWOMa3Je2)… https://t.co/eoxe6RTfqQ
1517712530126348288,ClubAfricana1,Sat Apr 23 03:50:39 +0000 2022,8.4332605,50.144532,@IsabellaBlacked @fuckumean14 #Rindswurst (#beefsausage) 🍆 = #BBC 🍆🤘🏿✌🏿👍🏿#Follow us on #WhatsApp1)… https://t.co/hC0TxWVUYO
1517712543099330560,swepal2,Sat Apr 23 03:50:42 +0000 2022,17.980058999999997,59.333670999999995,@TimNissen1 @SmurphySuzanne @Phyllis94584953 #Ukrainian soldiers allegedly caught on camera abusing #OWN civilians… https://t.co/GV5WL1SlOd
1517712546568015872,sissy_yessi,Sat Apr 23 03:50:43 +0000 2022,-4.0014535,43.1362355,@jade_ana26 How much this toy ?
1517712566340001792,UmairUmair2010,Sat Apr 23 03:50:48 +0000 2022,-8.3498705,53.697526499999995,Missing his last hug😞badly
1517712574795628546,NewToMyHome,Sat Apr 23 03:50:50 +0000 2022,-6.27761,53.326691,"75 Harold's Cross Road,Harold's Cross,Dubli.. ⇨ €725,000 | 3 Bed Semi-Detached House 12.. | https://t.co/SzTgKykLQv | #harold_s_cross"
1517712577261981697,tony1945,Sat Apr 23 03:50:50 +0000 2022,-0.306996,51.4405145,"@HeidiOBrien8 I'm so sorry to hear about your loss, Heidi. Sending love x"
1517712593737195520,guss3tt,Sat Apr 23 03:50:54 +0000 2022,-1.49384469,52.40747579,Thought I'd arrive early at 4:30am and these people had beaten me to it! #rsd2022 @just.dropped.in… https://t.co/abq0JX9Y9B
1517712627342114816,sotonliners,Sat Apr 23 03:51:02 +0000 2022,-1.02105,50.7203,Sky Princess is sailing into the Solent (Track: https://t.co/TBaMGV8Kee) #SkyPrincess
